PAP1 RPL28
SAC6 SPON1
APL1 WDR57
APM4 MYL1
SEC24 ZC3H11A
SAP190 KCNIP2
CCT7 NXF3
PLP2 MED10
MIS1 CHEK1
ARO1 PTPN21
MCM16 SUCLG2
BUD21 SLC8A3
FMC1 KIR2DL4
ATP12 ADH5
PDI1 TDGF1
MNL1 API5
HIR3 TBCE
MUD2 VGLL2
MSL5 IFT80
EGD1 UBADC1
ATP2 UBR2
SAS3 DKK2
NTO1 METT11D1
NPL3 FSCN1
BUD4 APBB3
ASC1 PLD2
RPS2 EPOR
LSG1 HIF1A
MYO1 CCDC92
TAH1 APOF
POP6 ABCG1
RPS23A CBLB
MRPL27 PFDN4
AKR1 AMBN
STE4 SHROOM3
RPS14B PML
WTM1 ASNS
SSC1 IPO13
MSS51 PLAC8
CLN2 GNG13
MAE1 RNPS1
MEX67 MFNG
SGF11 RPLP1
MRP10 KIF5A
NSE3 IQCB1
SMC5 NEDD4L
CLU1 TAF1
TKL2 TREM2
TKL1 GPHN
HRK1 TTC17
LSC2 DMXL2
LSC1 TRIM46
RPL33B GRB10
ACK1 RAB27B
EAP1 SLC12A4
UBP13 GNPNAT1
YOL087C MAP3K9
YKL023W CTDSP1
BRR1 LPA
PBP4 PELP1
SWS2 SMARCA4
INP52 NR0B1
BSP1 FZD6
RPP2A PDGFRB
HHT2 IGSF4
RTT101 SCYL1
CRT10 EBAG9
RSA3 GGCX
CDC43 FNTB
FKS1 NEDD9
RPL26A AXL
SCC2 C11orf17
SCC4 CDH13
RGD1 CDK2AP1
FYV8 HAVCR1
YBR225W ZNF594
TDH3 SPCS2
SLD5 IFI35
PSF3 PLXND1
GDH3 PLEKHA8
GDH1 SPOCK1
RPS28B DDEF1
CTF18 GNAZ
RPS26B CSF2RB
KTI11 THEG
MAK31 TTC28
SPE4 PNO1
SPE3 NXPH2
NUP170 TBC1D5
NUP53 TXNL4B
STT3 PRF1
OST1 CCDC99
EXO70 NET1
POR1 MYBL1
SMC2 CADPS
YCS4 SFRS2B
RPS10B NCOR1
ERP4 IFNG
ERP3 IGHD
SAC3 SCARB2
THP1 CASP14
KIC1 RAD54L
SOG2 LRRN5
PKH1 CD8B
ATP1 UQCRC2
VPH2 MCF2L2
IDS2 HSF2BP
RPL11A FOXO1A
YGL242C CEND1
SIR2 IL1RAPL1
NET1 DDI1
VPS34 LSAMP
ELP6 ARL6IP5
YDL156W ATP6V1H
SSE2 HTR4
BFR1 TP53BP2
LIN1 MAPK13
MRPL6 EXOSC9
YGR250C SYNJ1
SGN1 PTPN13
TAF13 GTF2E2
CRP1 KIR3DL2
CAF20 DLX5
CIA1 OGFOD2
MRPL39 TUBG2
CNA1 IGFBP2
ERP5 GYPC
OLA1 NXF2
CHS6 ALDOC
LYS12 FCER1A
RPS25A BTK
RAD7 SPAG4
ELC1 FAM21C
TIM44 CABLES2
RPC10 GPHB5
RMD5 CRH
NAT5 HDAC11
SCP160 AKT1S1
RRS1 CDC37
NOP6 DRD4
MPM1 ZSCAN2
TOM40 NPY5R
GET3 OTX2
GET2 FAM96B
TSA1 PSPN
DHR2 ASL
UBP10 USH1G
SIS2 NOLA1
CDC123 C1orf35
HYP2 CNKSR1
TRM9 EDG4
CUS2 GLUD2
KAR2 SREBF2
SCJ1 CYP2E1
NOP10 ZFPL1
RTT103 GRPEL2
KKQ8 NRG2
YLR287C ISGF3G
PEP12 GANAB
YGR054W PRKDC
FPR1 FUT7
BRN1 CCDC44
TUB2 VPS29
NFI1 NCBP2
ATG18 ZCCHC8
ATG2 ENSA
ALY2 RAD51AP1
RPL23B GLI2
YCG1 PIK4CA
CCT2 MCHR2
BUD14 TNFSF15
PCL7 SNAI1
KEL2 ZNF414
HST1 ANKS1B
CLB4 CPT1A
MLH2 SSX1
ERV46 FLAD1
ERV41 FZR1
NOP53 FGR
RPS16A CTLA4
SPT6 TULP2
SPN1 ADI1
IFH1 ASGR2
OCA6 GNB1L
YHB1 NUF2
RPS18B HNRPK
TRM3 MAN1C1
PKC1 SETD8
ENO1 MBTPS1
SLA1 HHLA3
MEC1 C14orf32
DRE2 SEC24B
TAH18 CTF1
SSN8 ANKRD27
UME6 NDUFA5
MLC2 KIAA0226
TEF1 DSC1
YCP4 KIF13B
DST1 TTC19
RPL19A ATF2
SMX2 SSTR4
NAR1 C18orf10
RRN6 CSF3
SPS22 EPDR1
NOB1 YES1
OCA2 RAB15
RAD3 NOL3
TPI1 DISC1
BUD27 H2AFY
NSR1 FOXL2
YPR174C GJB6
RSM18 MYBBP1A
VPS13 SLK
DAM1 AGPS
PSR1 KIAA1539
WHI2 COL25A1
NMD3 EIF3S2
SRM1 STMN4
GSP1 CHRNG
YFL034W RFC2
CLN1 MEFV
ADH3 IVNS1ABP
TDH1 MMP7
TDH2 MAPRE3
VPS36 HNRPA0
SNF8 HIST1H2BL
DCW1 NSMAF
FLC2 TFEC
PDR5 TFEB
MRD1 SERPINF1
DAD2 ZNF382
PBY1 ZNF136
MRPL22 PCID1
ADD66 PCBP3
PBA1 CNDP2
PSF1 RXFP4
VPS28 USP22
CSN12 H1F0
MRP17 GABBR2
LYS21 COPA
LYS20 SACM1L
HSP42 LPP
GLN1 PAMCI
TRM7 TNFSF5IP1
YMR259C ZNF593
GSP2 C12orf10
PRS3 OPTC
PRS1 PSTPIP2
STE12 PTTG1IP
DIG1 ZNF74
SLM5 IFIT5
YAR075W OSR1
RPS26A TNFRSF1A
MRS6 NOL8
KCC4 DDAH2
ALY1 CARD14
MTR10 ALMS1
HMO1 ITGAV
ASE1 PTBP1
TCB3 PSMC3IP
SEC7 NLK
AHA1 GPBP1L1
ROK1 MCF2L
SNF7 MEA1
VPS4 ZNHIT4
RPL43B TEC
PSF2 RLN3
DRS2 CRB1
YDR357C NR4A3
YKL061W ZNF587
MRPL25 SKIV2L
TEF2 POLB
MAF1 DNALI1
NCE102 APH1B
SIR4 C6
VID27 MAGED2
KIN28 RAD54L2
YCR076C ACTR3B
HSP26 ISOC2
YDJ1 VASP
VAC8 NDUFS7
SAF1 FGFRL1
AAH1 IFNA5
COX20 PRDM16
CHS1 DMP1
PEX5 DEAF1
MMT1 PPP1R14C
PCM1 SPRYD5
MGS1 RCN1
YER140W SFRS14
SLP1 RPL37A
PEX14 SNX24
PEX17 HN1
BET4 SIL1
BET2 PSPC1
MOG1 ZNF440
SDH1 SEMA4D
SDH2 KIAA1370
YDR415C CCDC47
UBA1 GAS1
PAN1 YLPM1
END3 RFT1
SEC53 SYT3
SNU13 FOXO3A
HTA1 CCDC5
JIP5 PLAUR
BNI4 AK1
SSB2 CDH15
ATG14 DPH3
APL3 FIS1
RPP1A PDGFRA
MND2 POU2F2
TAZ1 SEC11A
BUD7 HIST1H3C
TSR2 SGCZ
YLR132C CSNK1G3
RTR1 SERPINI1
FPR3 GTF2IRD1
ESC8 COL14A1
ERG1 REPS1
IDP1 SCAP
RPL9B GATA1
TUB3 TNPO3
ECM10 MAGOH
PDC6 AVP
CUL3 DUSP14
YIL001W BACE2
COF1 ARHGAP18
ALT1 APOC1
SIP5 CADPS2
SMC4 BSDC1
SSE1 ATP1A3
SUM1 WIPI2
RFM1 XRCC6BP1
SIS1 PPAP2A
URA3 NDFIP2
BUD6 BMP8B
YOR304C-A C1orf107
MRPL51 MIF4GD
VPS45 REXO1
TLG2 HBE1
YGR126W PTPRA
ACC1 TSN
YCR043C AMD1
RPS10A ANKRD11
BDH1 HNRPH3
BDH2 TTR
LRC4 EXOSC8
YBR053C NCAPG2
GLT1 PDGFC
YLR257W FAM46C
PIK1 MT-ND3
YAR010C GHR
YNR047W DUSP23
YPL183W-A VBP1
CDC24 FXYD1
BOI2 ZNF496
APS2 MYOT
ATS1 ABAT
YOR164C KRTAP3-2
SOL1 GABRG1
MRPL40 CHST4
PXR1 GMFB
RBG1 PIAS3
YNL208W IL18BP
TRX1 PRPF18
YEF1 C19orf29OS
UTR1 LST1
YOR251C MMP9
REV1 MMP26
SAS5 CKMT1A
WTM2 SLC16A2
RPL40A POLG
APE2 HTN1
TAO3 PPP2R5D
YML081W COL8A2
DOA1 SLC17A1
ERD2 RENBP
NUM1 IRF2BP2
GNA1 NEU1
SYF2 STXBP6
CMK1 CFHR3
KOG1 CRYBA2
TOR1 UBE4A
NVJ1 C4orf27
TOS4 H2AFB3
COX4 POU3F1
COX5A PPP4R1
TFB5 KLK5
TFB2 C1orf114
PMA1 TRPC6
HMT1 CLTCL1
SCD6 DMN
BUD3 NGFB
RAD16 ST6GALNAC6
MRPL44 EXOSC5
URH1 IGFBP4
RNA1 RGL1
HGH1 FAM63A
MET10 PRKAR1B
DML1 CTPS2
SWH1 ZDHHC3
STV1 PCYT1B
HXK1 SSBP1
ATP22 SLC4A7
TOM1 TLOC1
TOP2 WASF2
CSR1 CTSG
SSA4 CXCL12
ATG26 PFDN1
PYC2 NXPH1
PYC1 BPTF
MCM7 COLQ
ERG26 BCHE
YNR036C TBCB
IOC2 AKAP2
CYS4 WNT3
YGR205W FA2H
YME1 RGS9
MGM1 RAB9A
MNR2 SCIN
TUB1 CLSTN1
CKI1 ATP1A2
DRN1 C5orf25
DBR1 PIGG
BUB1 ZBTB24
BUB3 SLC7A7
ILS1 SFRS6
MDY2 CTNNBL1
YBR139W RAB40C
BEM2 GAS2
YLR455W PRNPIP
PET112 AKAP14
LRC6 SLC7A6
SLU7 NTSR2
PRP18 ASH1L
GPI8 ZNF396
GPI16 CNKSR2
DDI1 KIR2DS1
PMT4 TSPAN7
ERG7 CASP8AP2
ERG27 XAGE2
GAA1 DLGAP2
MOB1 TP53AP1
DBF20 ARHGAP10
SEN2 TNFSF9
SEN54 FOXD3
MKS1 SV2A
RBS1 WDR18
SEC17 TCEB3
SLY1 TCEB1
YLL023C PNRC1
CDC19 GLP2R
PSP2 CCDC17
GRE3 LZTR1
ATP8 GALNT4
AAP1 PRDM4
GPI17 HMGCS1
YPT1 PEX11A
DSS4 TMEM142B
YGL082W RPL23A
FAA4 TNFRSF13B
SNT2 ZNF410
ECM5 RASGEF1C
GPI10 IFT88
FAR3 CDR2
UFD2 SIGLEC6
MSN5 APH1A
ACS2 PFN1
CCT8 C11orf1
AIR1 IL20RA
IOC4 IFIT2
IFA38 TINAGL1
YJL049W PTGDR
CRZ1 HTR2B
AIM42 SLC12A1
AIM17 IGHMBP2
UBX2 OPN1MW
MOT2 C16orf48
HMG2 HERC3
HMG1 HSBP1
CCT5 SLC4A1AP
AHC2 DEFA5
PDC2 PCSK7
SSK1 C12orf35
SSK2 EPM2AIP1
CPR6 GORASP2
EFG1 MAN2C1
BUD22 SLC29A1
ILV6 SYT5
YDR306C GDNF
SPC2 GFRA2
YDL176W PLEKHA4
ERO1 ANAPC4
KTR3 FOXM1
RIB7 TADA1L
YEL043W ADAMTS13
NNF2 TBR1
SSA3 C9orf16
NSE4 ANKRD1
MMS21 USP25
NEW1 HARS2
IML1 GP1BA
IRR1 IGJ
PMR1 NCR2
PSD1 TPP1
GRS1 SFRS9
PSR2 PGS1
BNA3 RIBC2
TAP42 SMEK2
YLR003C KIFAP3
ACO1 EDG3
YML082W PSG5
YOR1 SOX6
PRP28 HIST4H4
MRPL19 USP16
SFB3 TLX3
PNG1 CMYA5
RPL14A JARID1A
MSS116 SOCS7
YPL183C NOSIP
PSD2 CYP17A1
PDR17 PRL
NOP13 RBCK1
CYC3 ASCL2
YAT1 IL29
ATP3 TRPT1
ATP5 UQCRB
COX9 SPIN1
COX6 SSBP2
ATP7 ANPEP
VPS51 GMPS
HMS1 SSBP3
CDC26 GOPC
SSF1 POLR1A
RPL37A TMF1
LCD1 CIRBP
SSD1 KCND3
HHO1 ITGB3
YJR142W NLGN1
TYS1 GPR151
ELA1 ATP2A3
PYK2 UNC45A
IDP3 TTC8
PDR1 ENY2
DBP7 MAP3K13
DUG2 HSN2
DUG3 ENTPD1
YOS9 NLE1
HRD1 PTPLB
UGA1 ACMSD
NDT80 PRR14
TPK3 NT5E
YLL032C BPY2B
YML119W SPAG8
HRD3 HSPB9
YPT7 MRPS22
SFP1 ARL4C
YPL009C AIRE
YHR009C DAD1
YJR136C CTTNBP2
YKL033W GBA
DAD3 TWIST2
SLM1 SFRP1
YGL079W SAV1
YLR408C PDIA5
KTI12 HRBL
ATG4 DSP
SOK1 ACBD3
QCR7 TRIM31
MPH1 C11orf49
LRC5 CACNB1
TMA16 ATXN10
YAR1 TIE1
YBT1 SLC16A5
DAK1 CPNE7
PET9 S100A12
PUT1 ZC3H7A
YMR315W ZNF202
PCT1 NRSN1
CIN8 COL5A3
ZWF1 RBM19
YBL104C RIN3
URA2 EFNB1
STE23 GUCA1A
MRN1 CABLES1
USA1 TBC1D10A
LUG1 POLR2J
HSK3 RAB35
RRP3 DCTN1
VAB2 C12orf12
TLG1 EIF2S3
GPA1 DPYSL4
YGR272C BST2
YGL039W CLDN6
YMR181C ANKRD15
ARO3 ZNF439
BCS1 LYPLA1
HEH2 TINAG
ERG24 ABI3BP
YAK1 MC2R
YPL247C KRIT1
SEC1 TBXA2R
YOL098C CUEDC2
FAR1 PGAM1
GID7 CKM
TOM71 DPF2
YLR072W POFUT1
RAD50 ETV7
BTT1 NTN2L
MBA1 CACNA1D
OGG1 PPM1L
RSA1 VDAC3
RNR1 SF1
HOG1 POLE2
RCK2 CNGA2
SDS23 ZFP106
FOL3 AP1S2
GIS4 DNAJA1
TOP1 GRK7
NGL1 PSG3
SBE2 DNMT3L
PBS2 CXCL6
YER077C FRS3
YPR036W-A ST3GAL2
BBC1 MTAP
CNS1 RTN4RL1
YDL089W HOXA3
SRC1 PRIMA1
YMR196W ASNA1
ARB1 RPS6KA2
DTD1 MIB2
CWP1 DLG7
MDJ1 ZC3H7B
RPS12 CD5
LYS2 ZZEF1
LYS5 ATPIF1
ADR1 UTP6
RKM2 TNFAIP8
YDR051C RSBN1
CTM1 DNM3
HOM6 RNF139
CCT3 RPE65
YPI1 ZCCHC12
NBP35 SNPH
YER156C WNT5B
CDC7 KIAA0179
DBF4 MRPL4
ADE4 RIT2
YIL096C GPD2
FMP27 KLHL26
YCR016W WASF3
FMP32 CRIP1
ERV29 NDUFS6
EST3 MUT
LIA1 NPR2
AIM30 PVR
TCP1 SERPIND1
SEC18 NF1
RNH1 BCOR
NTC20 C1orf190
NQM1 KLF16
TAL1 MORC4
CDC6 SCARF2
YDR133C SECISBP2
YMR185W SYT2
SSA1 NRK
XDJ1 BTF3
YGR149W ZNF334
MRPL33 TNFRSF21
OSH2 ZNF559
FAR8 DOK2
TWF1 LYPLA3
NCP1 DMWD
YCF1 C6orf203
PBI2 SAMSN1
GLN4 ACOX3
DDR48 GSTM3
RRD2 KPNA4
VPS9 NPTXR
RPL43A SNAPC1
MDM10 PHACTR3
YGL157W USP5
MUM2 SCGB3A2
YGL036W ROPN1B
ZPR1 MLH3
RPS25B SLC6A1
NMD5 BCS1L
MMS1 SCN3B
RPL34A DUSP6
ACO2 FABP6
ILV5 NRG4
CNM67 FGF12
REB1 TNPO2
ATG20 AP4S1
GDH2 TRPS1
SQT1 PPM1J
YJU2 GPR125
JJJ1 C9orf25
FUR1 ABCF1
URK1 ARL2BP
YMR209C AKR1C3
ZRC1 UBE2W
SLM3 POLH
SPO14 TRPV5
PRX1 A1BG
DOA4 LLGL1
VPS21 GMFG
GET1 CENPB
SUT1 CCDC116
LOT5 ATP5G3
MGE1 DAO
VTC1 VANGL2
FAB1 NEUROD1
YHM2 FRAT1
FYV4 ARFGAP1
TSC10 PARK7
RAS1 OLFM2
LSB1 C9orf61
RRP15 RRN3
CHA1 MAN2A2
YPL109C AVPR2
EMP47 PRSS3
EMP46 CETP
CMK2 RPL41
YHL009W-B IGFBP1
RNT1 KIAA0157
RSM28 NUPL1
CIN4 MXD1
LAG1 CSTF2
GDB1 C20orf102
TMA46 ATBF1
SRP40 CDX2
NTH2 COMMD3
AMN1 TPSAB1
MUK1 TNIK
CSE1 VPS35
YNL247W C18orf54
YNR062C C4orf20
HRT1 ZNF33B
HXK2 C16orf74
RAD27 NFU1
PCA1 GPT
YPL014W RNF31
PET111 PPEF2
FOL1 EIF3S12
PPT1 PEPD
YPL206C EDG5
SIR3 C5
YPL225W TAC4
DBP8 SHANK1
DMR1 ANGPT1
RHR2 SIRT6
SPI1 CCL23
PSK1 GAGE5
SEY1 LCAT
HXT4 C12orf46
FTH1 C3orf40
FET5 KIAA1609
YUR1 SSH2
KTR2 LZTS1
SHO1 SLAMF7
PTK1 CLCN7
SRL2 ATP6V1D
SLI15 CACNA2D4
BIR1 CACNB3
SCW11 KATNAL1
DIA1 ARMCX3
YPL088W C9orf46
INP2 RORA
OSH7 RBM14
TRX2 TSEN34
MTR2 C10orf119
DIG2 ZNF219
VAM7 EGR2
HEF3 MAS1
YOR262W RASGRP4
HFM1 MTMR6
MET6 LENG8
ALG12 MYL9
ALD6 RASSF2
TSC11 TTC3
LIP2 UGP2
GIS2 PAPOLA
YIL172C ZNF764
SNA2 GCH1
RPL15B SLC9A1
MAP2 SLC6A12
HKR1 TRPV2
XBP1 ZNF417
OTU1 GRHL1
RMP1 FASN
ADH7 NAT9
TEL1 SNX22
YFR006W ZP4
CDC14 CDAN1
TCB1 GAB3
PUF3 IDH2
BEM1 GRM6
ATM1 ROGDI
CPR4 PLEKHG4
TMA7 ARHGEF1
PPN1 C21orf33
YPK1 UTS2
YPK2 UTS2R
CSR2 BRD1
CYK3 GPRC5C
BRO1 UIMC1
PTC1 SOD2
CCP1 INPP5B
YGR266W ASMTL
DPH5 ZNF354A
MRM1 ABCA12
URA5 SGK3
URA10 RGS11
CCH1 HOXA7
THS1 ADAM11
SPO7 PPOX
NEM1 OCM
ELM1 ASCL4
RPL22B TREML1
TUF1 FBP2
FAR11 LY9
IST2 OTUB2
RAD34 SLC16A10
PEX11 CCDC113
GDS1 DNPEP
CYS3 ISCU
CYC8 ZNF277P
TUP1 HYAL1
SKT5 OPRM1
LST8 CCDC134
STE2 RPL31
YNL276C CALB1
LAA1 ADCY8
YKR017C NEUROD2
"ADE5,7" EPHB6
GRX4 MYBPC1
SVF1 THAP5
MRI1 PDCD1LG2
HFD1 CDH8
SSP120 MAN2B1
RPP1B SEMA3F
ECM17 PPP1R9A
DBP6 PDE1A
PTC7 NPPA
SEC14 FBXL18
THI3 LRRC18
NTA1 FKBP4
TAD2 OPRK1
BOI1 C1orf61
ATP16 GNRH2
FIT1 GNRHR2
YMR118C TFAM
PRP2 CSN1S1
PRO1 FFAR3
DOM34 CHAD
NUP133 PCSK9
ADE3 IL21R
HEK2 ENPP1
NDE2 SMUG1
RPL35A ENC1
TAH11 SYPL1
AIM45 TNFRSF10A
GEA1 PIGR
SES1 CA4
HRP1 SLC4A4
SWM1 RNF141
BUD9 SCHIP1
NCB2 CLSTN3
TVP23 CD244
GND1 SCAMP1
OLE1 XPO6
RAD51 THAP4
DNM1 MMP25
ILV2 TM2D1
DYN1 TEX10
UPF3 MAP6
ATP4 POLDIP2
NIF3 STATH
RTT106 KCNH1
SYN8 CPSF3L
STT4 FAM50B
YCK2 TNFSF14
CLB2 GNGT2
YDR338C YIPF6
MSP1 CAMK2N2
PDR15 PLCL2
IGO1 TTRAP
NDI1 BDKRB1
DYN3 HP
PHO86 CARS
YDR196C C10orf97
COX13 HERC5
PUS7 CXCL2
USO1 SLC8A2
YMR317W TNFSF8
PTR3 ITIH4
TRK1 PEO1
KHA1 LIMD1
LEM3 UCHL5IP
MKK1 HYI
ROX1 MGAT1
AEP1 CA2
VAS1 BBS2
SXM1 UROS
YBR246W RGMA
YTA6 NUP88
SEI1 BHLHB2
SKN1 ABCB4
CRD1 CXXC4
DED81 GJA5
YET1 GMIP
VTC3 GEM
SUR7 CCL3L1
PDR12 MTCH1
ATG1 HMGCL
ATG13 TNFAIP8L1
YMR262W ZBTB8
UBC4 UBE2J1
UFD4 PRSS8
RAD14 RIC8B
GCN2 HOXD10
YME2 PLA2G4A
GYP1 IFNA8
LYS9 FAM76B
SPF1 CLK4
SAR1 PHACTR1
KIN1 NMUR2
GIC1 IL2
ASI3 KSR2
NPR2 NRBP1
BOS1 SLC22A6
GLG1 FAM124B
BUB2 KLK13
YHR202W BTBD10
ATP11 ZNF101
OST3 CAMK2N1
RPS29B XCL2
ADE13 INSIG1
YPR091C BCL6B
PDC5 ARHGEF11
DGA1 MRPL38
ALD4 URM1
YBL113C PCDHA6
URN1 PPP1R3D
DLD3 CDC2L6
GTR2 TNFAIP1
YCR015C MXD3
ESP1 FASTKD5
YGR203W HOXD11
VHS2 BOP1
TSC13 C11orf61
FMP52 TSKU
YBR030W TSPAN6
MAP1 NPPB
IMH1 SNRPN
MTQ2 LOXL3
TIP41 SCAMP5
YNL108C NXT2
RPM2 RAB30
YOR356W MPDU1
LSB5 QSCN6
YBL054W SERF2
PRK1 SLAMF1
MTO1 DNA2L
PRR1 ZNF274
PAM1 KIAA0020
BNI1 DKK3
YMR178W DIAPH3
YMR187C MMP11
YOR111W LZTR2
YBR238C NANOS1
OXA1 IK
ERG29 IFT140
MRS4 KRT16
CIT1 MNS1
YPR114W STAM
AMS1 CLP1
FMT1 C17orf42
ZEO1 NIPSNAP1
HXT7 ZDHHC7
YMR086W SETBP1
CYM1 MYH10
YDR282C EGF
SAC1 IL23R
ICL1 PTP4A2
FES1 KHDRBS2
PHO88 WDR74
WRS1 DGCR8
FAP7 NCAM1
MRPL38 CCDC131
SLN1 SORD
PRM8 ENPEP
YOR131C COL17A1
MAK11 CAND1
RLP24 APOBEC1
KTR6 C4orf17
VPS3 SLC6A8
FZO1 CYP2C19
MCK1 TRMT1
CIK1 OLFM3
VPS25 TRIOBP
RGD2 C20orf12
UMP1 GUCY1A2
APN1 PACSIN2
PEP1 METAP1
DEF1 PNPO
BUD2 NLRP2
YJL123C THEX1
SSA2 HLA-DQA1
YDR341C ARL15
ENT3 TNNT2
NOP16 AZI2
YIL151C SYN3
COQ4 CKAP4
YML131W RSF1
QNQ1 RBBP6
YLH47 PPIL4
TAT1 SPTA1
OXR1 FTH1
YKL100C ADRA1D
SCS3 OSM
RMD8 PCNT
BRL1 MINPP1
AEP2 CBR1
TYW3 GDA
YOR093C TUFT1
HAM1 MRPS6
YRB30 ARL6IP2
YBP1 PLCD3
ABD1 COX7A2L
MAC1 PRB4
FMP41 ARID2
ISN1 XCL1
SLF1 CEP152
LOS1 ART1
ABZ1 KIAA1598
YNL086W GNL3L
MCM6 PTGER3
MCM5 MT1F
PIR1 NCR1
BSD2 ZNF804A
GPT2 DDB2
RPS21A SOX17
YDL173W SLC26A8
RAD26 ATRNL1
VMA22 VPS72
RMD9 RAB3IL1
YEL025C IDUA
YSC84 FFAR2
ABZ2 TLR1
CDC13 PDK4
TMA108 GALR1
YDR061W SYNE2
PHM8 SCUBE1
YBR012W-B SLC26A6
YMR291W BCKDHB
YCR102C IL33
YNL134C P2RY1
MMM1 MAPRE1
TPO2 NOM1
SKG3 CPB1
SET7 LIM2
SER2 VWA1
MRH4 SLC12A6
MGM101 ARHGEF15
PCS60 GP5
RSR1 BSN
TCM62 PDYN
ADE6 MS4A7
MSB2 SPR
DLD1 FGF8
RFX1 AGPAT6
NUP192 KIAA1199
TVP18 SYT1
YDL026W SMCP
MMS4 OBP2A
MUS81 OR1G1
HSP78 VANGL1
KRS1 COL9A1
YFR017C ARC
BUD23 XRCC4
SCW4 RUTBC3
CBK1 GBP3
KCS1 SLC22A5
KRE2 SYNC1
SHE9 ZBED5
SNL1 GSTO1
YLR173W FAM18B2
SUR4 HIST3H2A
