YeastENSP YeastSGD YeastEntrezID YeastBioGRID HumanENSP HumanHGNC HumanEntrezID HumanBioGRID Comp
YLR197W NOP56 850894 31467 ENSP00000370589 NOP56 10528 115783 0
YLR274W MCM5 850980 31542 ENSP00000216122 MCM5 4174 110342 0
YLR409C UTP21 851125 31666 ENSP00000423067 WDR36 134430 126399 0
YLR424W SPP382 851143 31683 ENSP00000384421 TFIP11 24144 117294 0
YML010W SPT5 854999 35159 ENSP00000470252 SUPT5H 6829 112697 0
YML025C YML6 854983 35144 ENSP00000253099 MRPL4 51073 119264 0
YML049C RSE1 854956 35119 ENSP00000305790 SF3B3 23450 117016 0
YMR061W RNA14 855083 35236 ENSP00000315791 CSTF3 1479 107861 0
YMR128W ECM16 855158 35305 ENSP00000311135 DHX37 57647 121684 0
YMR131C RRB1 855161 35308 ENSP00000253237 GRWD1 83743 123751 0
YMR146C TIF34 855177 35322 ENSP00000362688 EIF3I 8668 114217 0
YMR218C TRS130 855258 35396 ENSP00000291574 TRAPPC10 7109 112964 0
YMR290C HAS1 855335 35470 ENSP00000263239 DDX18 8886 114404 0
YNL026W SAM50 855705 35800 ENSP00000345445 SAMM50 25813 117342 0
YNL062C GCD10 855663 35761 ENSP00000203001 TRMT6 51605 119634 0
YNL075W IMP4 855649 35748 ENSP00000259239 IMP4 92856 124984 0
YNL110C NOP15 855613 35715 ENSP00000285814 NIFK 84365 124066 0
YNL178W RPS3 855543 35653 ENSP00000278572 RPS3 6188 112102 0
YNL221C POP1 855500 35615 ENSP00000385787 POP1 10940 116140 0
YNL260C LTO1 855461 35579 ENSP00000446428 ORAOV1 220064 128622 0
YNL261W ORC5 855460 35578 ENSP00000297431 ORC5 5001 111043 0
YNL262W POL2 855459 35577 ENSP00000322570 POLE 5426 111422 0
YNL313C EMW1 855403 35526 ENSP00000313953 TTC27 55622 120761 0
YNR054C ESF2 855790 35879 ENSP00000468826 ABT1 29777 118909 0
YOL010W RCL1 854152 34394 ENSP00000371169 RCL1 10171 115473 0
YOL102C TPT1 854051 34301 ENSP00000378050 TRPT1 83707 123736 0
YOL135C MED7 853985 34241 ENSP00000286317 MED7 9443 114833 0
YOL146W PSF3 854019 34271 ENSP00000401018 GINS3 64785 122295 0
YOR004W UTP23 854165 34407 ENSP00000308332 UTP23 84294 124021 0
YOR048C RAT1 854213 34449 ENSP00000366396 XRN2 22803 116483 0
YOR056C NOB1 854221 34454 ENSP00000268802 NOB1 28987 118808 0
YOR103C OST2 854270 34500 ENSP00000250498 DAD1 1603 107973 0
YOR119C RIO1 854286 34515 ENSP00000369162 RIOK1 83732 123743 0
YOR194C TOA1 854369 34592 ENSP00000452454 GTF2A1 2957 109212 0
YOR206W NOC2 854381 34601 ENSP00000317992 NOC2L 26155 117586 0
YOR217W RFC1 854392 34612 ENSP00000371321 RFC1 5981 111913 0
YOR250C CLP1 854424 34640 ENSP00000433406 CLP1 10978 116174 0
YOR254C SEC63 854428 34644 ENSP00000357998 SEC63 11231 116397 0
YOR257W CDC31 854431 34647 ENSP00000428259 CETN3 1070 107497 0
YOR260W GCD1 854434 34650 ENSP00000353575 EIF2B3 8891 114408 0
YOR262W GPN2 854436 34652 ENSP00000363250 GPN2 54707 120104 0
YOR287C RRP36 854461 34674 ENSP00000244496 RRP36 88745 124584 0
YOR310C NOP58 854487 34698 ENSP00000264279 NOP58 51602 119631 0
YPL012W RRP12 856095 36165 ENSP00000360031 RRP12 23223 116829 0
YPL020C ULP1 856087 36157 ENSP00000327197 SENP5 205564 128497 0
YPL063W TIM50 856042 36116 ENSP00000318115 TIMM50 92609 124961 0
YPL082C MOT1 856023 36099 ENSP00000265990 BTAF1 9044 114506 0
YPL083C SEN54 856022 36098 ENSP00000327487 TSEN54 283989 129721 0
YPL151C PRP46 855952 36032 ENSP00000424417 PLRG1 5356 111370 0
YPL217C BMS1 855884 35968 ENSP00000363642 BMS1 9790 115134 0
YPL235W RVB2 855841 35927 ENSP00000473172 RUVBL2 10856 116067 0
YPL243W SRP68 855833 35920 ENSP00000312066 SRP68 6730 112608 0
YPR048W TAH18 856161 36224 ENSP00000360576 NDOR1 27158 118038 0
YPR056W TFB4 856169 36230 ENSP00000445162 GTF2H3 2967 109222 0
YPR086W SUA7 856201 36257 ENSP00000359531 GTF2B 2959 109214 0
YPR094W RDS3 856209 36262 ENSP00000216252 PHF5A 84844 124296 0
YPR105C COG4 856220 36271 ENSP00000315775 COG4 25839 117365 0
YPR110C RPC40 856226 36277 ENSP00000361465 POLR1C 9533 114909 0
YPR112C MRD1 856228 36279 ENSP00000442053 RBM19 9904 115233 0
YPR144C NOC4 856267 36313 ENSP00000328854 NOC4L 79050 122508 0
YPR162C ORC4 856291 36335 ENSP00000376597 ORC4 5000 111042 0
YPR168W NUT2 856297 36341 ENSP00000255764 MED10 84246 123974 0
YPR175W DPB2 856305 36348 ENSP00000216367 POLE2 5427 111423 0
YPR178W PRP4 856307 36350 ENSP00000363313 PRPF4 9128 114576 0
YPR180W AOS1 856310 36352 ENSP00000270225 SAE1 10055 115366 0
YPR190C RPC82 856320 36362 ENSP00000464345 POLR3C 10623 115868 0
YDR376W ARH1 851982 32435 ENSP00000416515 FDXR 2232 108523 0
YNL182C IPI3 855539 35650 ENSP00000251289 WDR18 57418 121517 0
YDR339C FCF1 851939 32396 ENSP00000344393 FCF1 51077 119268 0
